WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Date
999,2.1,3.1,99.0,99.0,99.0,999,9999.0,13.7,999.0,999.0,99.0,99.0,2020/01/01 0000
999,4.6,5.7,99.0,99.0,99.0,999,9999.0,13.7,999.0,999.0,99.0,99.0,2020/01/01 0100
999,4.1,5.7,99.0,99.0,99.0,999,9999.0,13.6,999.0,999.0,99.0,99.0,2020/01/01 0200
999,3.1,4.1,99.0,99.0,99.0,999,9999.0,13.5,999.0,999.0,99.0,99.0,2020/01/01 0300
999,1.0,2.1,99.0,99.0,99.0,999,9999.0,13.3,999.0,999.0,99.0,99.0,2020/01/01 0400
999,1.0,2.1,99.0,99.0,99.0,999,9999.0,13.4,999.0,999.0,99.0,99.0,2020/01/01 0500
999,2.1,3.1,99.0,99.0,99.0,999,9999.0,13.4,999.0,999.0,99.0,99.0,2020/01/01 0600
999,2.6,3.6,99.0,99.0,99.0,999,9999.0,13.2,999.0,999.0,99.0,99.0,2020/01/01 0700
999,1.5,2.1,99.0,99.0,99.0,999,9999.0,13.1,999.0,999.0,99.0,99.0,2020/01/01 0800
999,1.5,2.6,99.0,99.0,99.0,999,9999.0,12.8,999.0,999.0,99.0,99.0,2020/01/01 0900
999,0.0,1.0,99.0,99.0,99.0,999,9999.0,12.7,999.0,999.0,99.0,99.0,2020/01/01 1000
999,2.6,3.1,99.0,99.0,99.0,999,9999.0,12.7,999.0,999.0,99.0,99.0,2020/01/01 1100
999,2.6,3.1,99.0,99.0,99.0,999,9999.0,12.8,999.0,999.0,99.0,99.0,2020/01/01 1200
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,12.7,999.0,999.0,99.0,99.0,2020/01/01 1300
999,5.1,5.7,99.0,99.0,99.0,999,9999.0,12.6,999.0,999.0,99.0,99.0,2020/01/01 1400
999,5.1,5.7,99.0,99.0,99.0,999,9999.0,12.7,999.0,999.0,99.0,99.0,2020/01/01 1500
999,5.7,6.7,99.0,99.0,99.0,999,9999.0,12.6,999.0,999.0,99.0,99.0,2020/01/01 1600
999,6.7,7.2,99.0,99.0,99.0,999,9999.0,12.6,999.0,999.0,99.0,99.0,2020/01/01 1700
999,6.2,7.2,99.0,99.0,99.0,999,9999.0,12.5,999.0,999.0,99.0,99.0,2020/01/01 1800
999,5.7,6.2,99.0,99.0,99.0,999,9999.0,12.6,999.0,999.0,99.0,99.0,2020/01/01 1900
999,6.2,6.7,99.0,99.0,99.0,999,9999.0,13.0,999.0,999.0,99.0,99.0,2020/01/01 2000
999,5.1,5.7,99.0,99.0,99.0,999,9999.0,13.6,999.0,999.0,99.0,99.0,2020/01/01 2100
999,5.1,6.2,99.0,99.0,99.0,999,9999.0,13.6,999.0,999.0,99.0,99.0,2020/01/01 2200
999,7.2,8.2,99.0,99.0,99.0,999,9999.0,13.6,999.0,999.0,99.0,99.0,2020/01/01 2300
999,7.2,8.2,99.0,99.0,99.0,999,9999.0,13.7,999.0,999.0,99.0,99.0,2020/01/02 0000
999,8.2,9.8,99.0,99.0,99.0,999,9999.0,13.8,999.0,999.0,99.0,99.0,2020/01/02 0100
999,8.8,9.8,99.0,99.0,99.0,999,9999.0,13.8,999.0,999.0,99.0,99.0,2020/01/02 0200
999,9.3,10.8,99.0,99.0,99.0,999,9999.0,13.3,999.0,999.0,99.0,99.0,2020/01/02 0300
999,10.8,12.4,99.0,99.0,99.0,999,9999.0,12.8,999.0,999.0,99.0,99.0,2020/01/02 0400
999,8.8,10.8,99.0,99.0,99.0,999,9999.0,13.4,999.0,999.0,99.0,99.0,2020/01/02 0500
999,8.8,9.8,99.0,99.0,99.0,999,9999.0,12.9,999.0,999.0,99.0,99.0,2020/01/02 0600
999,6.7,9.3,99.0,99.0,99.0,999,9999.0,13.8,999.0,999.0,99.0,99.0,2020/01/02 0800
999,8.2,9.8,99.0,99.0,99.0,999,9999.0,14.7,999.0,999.0,99.0,99.0,2020/01/02 0900
999,8.8,10.3,99.0,99.0,99.0,999,9999.0,17.0,999.0,999.0,99.0,99.0,2020/01/02 1000
999,8.8,10.3,99.0,99.0,99.0,999,9999.0,18.5,999.0,999.0,99.0,99.0,2020/01/02 1100
999,3.6,7.2,99.0,99.0,99.0,999,9999.0,18.3,999.0,999.0,99.0,99.0,2020/01/02 1200
999,4.1,6.2,99.0,99.0,99.0,999,9999.0,19.0,999.0,999.0,99.0,99.0,2020/01/02 1300
999,3.6,6.2,99.0,99.0,99.0,999,9999.0,18.7,999.0,999.0,99.0,99.0,2020/01/02 1400
999,5.7,7.2,99.0,99.0,99.0,999,9999.0,18.9,999.0,999.0,99.0,99.0,2020/01/02 1500
999,3.6,5.7,99.0,99.0,99.0,999,9999.0,18.9,999.0,999.0,99.0,99.0,2020/01/02 1600
999,4.1,5.7,99.0,99.0,99.0,999,9999.0,19.1,999.0,999.0,99.0,99.0,2020/01/02 1700
999,6.7,8.8,99.0,99.0,99.0,999,9999.0,19.0,999.0,999.0,99.0,99.0,2020/01/02 1800
999,5.7,7.2,99.0,99.0,99.0,999,9999.0,20.9,999.0,999.0,99.0,99.0,2020/01/02 1900
999,5.7,6.2,99.0,99.0,99.0,999,9999.0,21.1,999.0,999.0,99.0,99.0,2020/01/02 2000
999,6.7,8.2,99.0,99.0,99.0,999,9999.0,22.5,999.0,999.0,99.0,99.0,2020/01/02 2100
999,9.3,11.3,99.0,99.0,99.0,999,9999.0,22.4,999.0,999.0,99.0,99.0,2020/01/02 2200
999,8.2,10.3,99.0,99.0,99.0,999,9999.0,22.5,999.0,999.0,99.0,99.0,2020/01/02 2300
999,8.8,10.3,99.0,99.0,99.0,999,9999.0,22.8,999.0,999.0,99.0,99.0,2020/01/03 0000
999,5.1,6.7,99.0,99.0,99.0,999,9999.0,18.9,999.0,999.0,99.0,99.0,2020/01/03 0100
