#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2020 01 01 00 00 999  2.1  3.1 99.00 99.00 99.00 999 9999.0  13.7 999.0 999.0 99.0 99.00
2020 01 01 01 00 999  4.6  5.7 99.00 99.00 99.00 999 9999.0  13.7 999.0 999.0 99.0 99.00
2020 01 01 02 00 999  4.1  5.7 99.00 99.00 99.00 999 9999.0  13.6 999.0 999.0 99.0 99.00
2020 01 01 03 00 999  3.1  4.1 99.00 99.00 99.00 999 9999.0  13.5 999.0 999.0 99.0 99.00
2020 01 01 04 00 999  1.0  2.1 99.00 99.00 99.00 999 9999.0  13.3 999.0 999.0 99.0 99.00
2020 01 01 05 00 999  1.0  2.1 99.00 99.00 99.00 999 9999.0  13.4 999.0 999.0 99.0 99.00
2020 01 01 06 00 999  2.1  3.1 99.00 99.00 99.00 999 9999.0  13.4 999.0 999.0 99.0 99.00
2020 01 01 07 00 999  2.6  3.6 99.00 99.00 99.00 999 9999.0  13.2 999.0 999.0 99.0 99.00
2020 01 01 08 00 999  1.5  2.1 99.00 99.00 99.00 999 9999.0  13.1 999.0 999.0 99.0 99.00
2020 01 01 09 00 999  1.5  2.6 99.00 99.00 99.00 999 9999.0  12.8 999.0 999.0 99.0 99.00
2020 01 01 10 00 999  0.0  1.0 99.00 99.00 99.00 999 9999.0  12.7 999.0 999.0 99.0 99.00
2020 01 01 11 00 999  2.6  3.1 99.00 99.00 99.00 999 9999.0  12.7 999.0 999.0 99.0 99.00
2020 01 01 12 00 999  2.6  3.1 99.00 99.00 99.00 999 9999.0  12.8 999.0 999.0 99.0 99.00
2020 01 01 13 00 999  4.6  5.1 99.00 99.00 99.00 999 9999.0  12.7 999.0 999.0 99.0 99.00
2020 01 01 14 00 999  5.1  5.7 99.00 99.00 99.00 999 9999.0  12.6 999.0 999.0 99.0 99.00
2020 01 01 15 00 999  5.1  5.7 99.00 99.00 99.00 999 9999.0  12.7 999.0 999.0 99.0 99.00
2020 01 01 16 00 999  5.7  6.7 99.00 99.00 99.00 999 9999.0  12.6 999.0 999.0 99.0 99.00
2020 01 01 17 00 999  6.7  7.2 99.00 99.00 99.00 999 9999.0  12.6 999.0 999.0 99.0 99.00
2020 01 01 18 00 999  6.2  7.2 99.00 99.00 99.00 999 9999.0  12.5 999.0 999.0 99.0 99.00
2020 01 01 19 00 999  5.7  6.2 99.00 99.00 99.00 999 9999.0  12.6 999.0 999.0 99.0 99.00
2020 01 01 20 00 999  6.2  6.7 99.00 99.00 99.00 999 9999.0  13.0 999.0 999.0 99.0 99.00
2020 01 01 21 00 999  5.1  5.7 99.00 99.00 99.00 999 9999.0  13.6 999.0 999.0 99.0 99.00
2020 01 01 22 00 999  5.1  6.2 99.00 99.00 99.00 999 9999.0  13.6 999.0 999.0 99.0 99.00
2020 01 01 23 00 999  7.2  8.2 99.00 99.00 99.00 999 9999.0  13.6 999.0 999.0 99.0 99.00
2020 01 02 00 00 999  7.2  8.2 99.00 99.00 99.00 999 9999.0  13.7 999.0 999.0 99.0 99.00
2020 01 02 01 00 999  8.2  9.8 99.00 99.00 99.00 999 9999.0  13.8 999.0 999.0 99.0 99.00
2020 01 02 02 00 999  8.8  9.8 99.00 99.00 99.00 999 9999.0  13.8 999.0 999.0 99.0 99.00
2020 01 02 03 00 999  9.3 10.8 99.00 99.00 99.00 999 9999.0  13.3 999.0 999.0 99.0 99.00
2020 01 02 04 00 999 10.8 12.4 99.00 99.00 99.00 999 9999.0  12.8 999.0 999.0 99.0 99.00
2020 01 02 05 00 999  8.8 10.8 99.00 99.00 99.00 999 9999.0  13.4 999.0 999.0 99.0 99.00
2020 01 02 06 00 999  8.8  9.8 99.00 99.00 99.00 999 9999.0  12.9 999.0 999.0 99.0 99.00
2020 01 02 08 00 999  6.7  9.3 99.00 99.00 99.00 999 9999.0  13.8 999.0 999.0 99.0 99.00
2020 01 02 09 00 999  8.2  9.8 99.00 99.00 99.00 999 9999.0  14.7 999.0 999.0 99.0 99.00
2020 01 02 10 00 999  8.8 10.3 99.00 99.00 99.00 999 9999.0  17.0 999.0 999.0 99.0 99.00
2020 01 02 11 00 999  8.8 10.3 99.00 99.00 99.00 999 9999.0  18.5 999.0 999.0 99.0 99.00
2020 01 02 12 00 999  3.6  7.2 99.00 99.00 99.00 999 9999.0  18.3 999.0 999.0 99.0 99.00
2020 01 02 13 00 999  4.1  6.2 99.00 99.00 99.00 999 9999.0  19.0 999.0 999.0 99.0 99.00
2020 01 02 14 00 999  3.6  6.2 99.00 99.00 99.00 999 9999.0  18.7 999.0 999.0 99.0 99.00
2020 01 02 15 00 999  5.7  7.2 99.00 99.00 99.00 999 9999.0  18.9 999.0 999.0 99.0 99.00
2020 01 02 16 00 999  3.6  5.7 99.00 99.00 99.00 999 9999.0  18.9 999.0 999.0 99.0 99.00
