,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,Measurement Timestamp Label,Measurement ID
21445,Ohio Street Beach,2013-09-03 03:00:00,21.9,4.97,0.241,7.0,9.4,09/03/2013 3:00 AM,OhioStreetBeach201309030300
21446,Ohio Street Beach,2014-06-05 12:00:00,16.9,1.6,0.159,3.0,12.8,06/05/2014 12:00 PM,OhioStreetBeach201406051200
21447,Ohio Street Beach,2014-06-06 14:00:00,18.8,0.7,0.135,2.0,12.4,06/06/2014 2:00 PM,OhioStreetBeach201406061400
21448,Ohio Street Beach,2014-06-06 17:00:00,19.8,0.78,0.162,3.0,12.3,06/06/2014 5:00 PM,OhioStreetBeach201406061700
21449,Ohio Street Beach,2014-06-06 18:00:00,19.7,0.77,0.13,3.0,12.3,06/06/2014 6:00 PM,OhioStreetBeach201406061800
21450,Ohio Street Beach,2014-06-06 19:00:00,19.2,0.8,0.137,2.0,12.3,06/06/2014 7:00 PM,OhioStreetBeach201406061900
21451,Ohio Street Beach,2014-06-06 20:00:00,18.7,1.03,0.147,2.0,12.3,06/06/2014 8:00 PM,OhioStreetBeach201406062000
21452,Ohio Street Beach,2014-06-06 21:00:00,18.1,0.83,0.144,2.0,12.3,06/06/2014 9:00 PM,OhioStreetBeach201406062100
21453,Ohio Street Beach,2014-06-06 22:00:00,17.3,1.0,0.133,2.0,12.3,06/06/2014 10:00 PM,OhioStreetBeach201406062200
21454,Ohio Street Beach,2014-06-06 23:00:00,17.1,1.12,0.119,3.0,12.3,06/06/2014 11:00 PM,OhioStreetBeach201406062300
21478,Ohio Street Beach,2014-06-07 00:00:00,16.8,1.21,0.127,3.0,12.3,06/07/2014 12:00 AM,OhioStreetBeach201406072400
21455,Ohio Street Beach,2014-06-07 01:00:00,16.6,0.97,0.104,2.0,12.3,06/07/2014 1:00 AM,OhioStreetBeach201406070100
21456,Ohio Street Beach,2014-06-07 02:00:00,16.6,0.95,0.089,3.0,12.3,06/07/2014 2:00 AM,OhioStreetBeach201406070200
21457,Ohio Street Beach,2014-06-07 03:00:00,16.6,0.97,0.087,4.0,12.2,06/07/2014 3:00 AM,OhioStreetBeach201406070300
21458,Ohio Street Beach,2014-06-07 04:00:00,16.6,1.04,0.08,2.0,12.2,06/07/2014 4:00 AM,OhioStreetBeach201406070400
21459,Ohio Street Beach,2014-06-07 05:00:00,16.5,0.79,0.071,2.0,12.2,06/07/2014 5:00 AM,OhioStreetBeach201406070500
21460,Ohio Street Beach,2014-06-07 06:00:00,16.6,0.71,0.068,2.0,12.2,06/07/2014 6:00 AM,OhioStreetBeach201406070600
21461,Ohio Street Beach,2014-06-07 07:00:00,16.7,0.73,0.096,3.0,12.2,06/07/2014 7:00 AM,OhioStreetBeach201406070700
21462,Ohio Street Beach,2014-06-07 08:00:00,16.8,0.84,0.103,2.0,12.2,06/07/2014 8:00 AM,OhioStreetBeach201406070800
21463,Ohio Street Beach,2014-06-07 09:00:00,17.0,0.81,0.078,3.0,12.2,06/07/2014 9:00 AM,OhioStreetBeach201406070900
21464,Ohio Street Beach,2014-06-07 10:00:00,17.2,1.4,0.089,7.0,12.1,06/07/2014 10:00 AM,OhioStreetBeach201406071000
21465,Ohio Street Beach,2014-06-07 11:00:00,17.5,0.86,0.144,2.0,12.1,06/07/2014 11:00 AM,OhioStreetBeach201406071100
21466,Ohio Street Beach,2014-06-07 12:00:00,17.7,1.13,0.121,3.0,12.1,06/07/2014 12:00 PM,OhioStreetBeach201406071200
21467,Ohio Street Beach,2014-06-07 13:00:00,17.6,1.04,0.175,6.0,12.1,06/07/2014 1:00 PM,OhioStreetBeach201406071300
21468,Ohio Street Beach,2014-06-07 14:00:00,18.1,1.13,0.178,3.0,12.1,06/07/2014 2:00 PM,OhioStreetBeach201406071400
21469,Ohio Street Beach,2014-06-07 15:00:00,18.4,1.15,0.169,3.0,12.1,06/07/2014 3:00 PM,OhioStreetBeach201406071500
21470,Ohio Street Beach,2014-06-07 16:00:00,18.4,0.86,0.166,2.0,12.1,06/07/2014 4:00 PM,OhioStreetBeach201406071600
21471,Ohio Street Beach,2014-06-07 17:00:00,18.5,0.77,0.174,2.0,12.1,06/07/2014 5:00 PM,OhioStreetBeach201406071700
21472,Ohio Street Beach,2014-06-07 18:00:00,18.3,1.08,0.167,2.0,12.1,06/07/2014 6:00 PM,OhioStreetBeach201406071800
21473,Ohio Street Beach,2014-06-07 19:00:00,18.3,1.14,0.145,2.0,12.1,06/07/2014 7:00 PM,OhioStreetBeach201406071900
21474,Ohio Street Beach,2014-06-07 20:00:00,18.0,0.99,0.149,2.0,12.1,06/07/2014 8:00 PM,OhioStreetBeach201406072000
21475,Ohio Street Beach,2014-06-07 21:00:00,17.8,0.92,0.158,3.0,12.1,06/07/2014 9:00 PM,OhioStreetBeach201406072100
21476,Ohio Street Beach,2014-06-07 22:00:00,17.7,0.83,0.153,3.0,12.0,06/07/2014 10:00 PM,OhioStreetBeach201406072200
21477,Ohio Street Beach,2014-06-07 23:00:00,17.6,0.8,0.16,3.0,12.0,06/07/2014 11:00 PM,OhioStreetBeach201406072300
21502,Ohio Street Beach,2014-06-08 00:00:00,17.5,0.9,0.158,3.0,12.0,06/08/2014 12:00 AM,OhioStreetBeach201406082400
21479,Ohio Street Beach,2014-06-08 01:00:00,17.4,0.85,0.211,3.0,12.0,06/08/2014 1:00 AM,OhioStreetBeach201406080100
21480,Ohio Street Beach,2014-06-08 02:00:00,17.3,2.3,0.28,4.0,12.0,06/08/2014 2:00 AM,OhioStreetBeach201406080200
21481,Ohio Street Beach,2014-06-08 03:00:00,17.1,3.03,0.26,4.0,12.0,06/08/2014 3:00 AM,OhioStreetBeach201406080300
21482,Ohio Street Beach,2014-06-08 04:00:00,16.9,3.63,0.293,4.0,12.0,06/08/2014 4:00 AM,OhioStreetBeach201406080400
21483,Ohio Street Beach,2014-06-08 05:00:00,16.5,4.59,0.331,4.0,12.0,06/08/2014 5:00 AM,OhioStreetBeach201406080500
21484,Ohio Street Beach,2014-06-08 06:00:00,16.6,6.32,0.319,4.0,12.0,06/08/2014 6:00 AM,OhioStreetBeach201406080600
21485,Ohio Street Beach,2014-06-08 07:00:00,16.5,6.76,0.355,5.0,12.0,06/08/2014 7:00 AM,OhioStreetBeach201406080700
21486,Ohio Street Beach,2014-06-08 08:00:00,16.1,6.87,0.32,5.0,12.0,06/08/2014 8:00 AM,OhioStreetBeach201406080800
21487,Ohio Street Beach,2014-06-08 09:00:00,16.0,6.34,0.357,5.0,12.0,06/08/2014 9:00 AM,OhioStreetBeach201406080900
21488,Ohio Street Beach,2014-06-08 10:00:00,16.0,6.64,0.372,5.0,11.9,06/08/2014 10:00 AM,OhioStreetBeach201406081000
21489,Ohio Street Beach,2014-06-08 11:00:00,16.2,7.23,0.425,5.0,12.0,06/08/2014 11:00 AM,OhioStreetBeach201406081100
21490,Ohio Street Beach,2014-06-08 12:00:00,16.4,6.74,0.384,6.0,11.9,06/08/2014 12:00 PM,OhioStreetBeach201406081200
21491,Ohio Street Beach,2014-06-08 13:00:00,16.7,8.66,0.402,6.0,11.9,06/08/2014 1:00 PM,OhioStreetBeach201406081300
21492,Ohio Street Beach,2014-06-08 14:00:00,16.8,9.15,0.357,6.0,11.9,06/08/2014 2:00 PM,OhioStreetBeach201406081400
21493,Ohio Street Beach,2014-06-08 15:00:00,17.0,8.54,0.348,3.0,11.9,06/08/2014 3:00 PM,OhioStreetBeach201406081500
21494,Ohio Street Beach,2014-06-08 16:00:00,16.9,8.47,0.409,4.0,11.9,06/08/2014 4:00 PM,OhioStreetBeach201406081600
