Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8
0,235.68,12.4,0,1,17,59
0.136,235.45,15.2,0,0,17,1499
0,236.13,10.2,0,0,17,2939
0.388,237.15,9,0,2,17,4379
0.256,239.38,12.2,0,1,5,5819
0.056,233.41,10,0,0,17,7259
0.56,237.58,16.6,0,2,0,8699
0.16,236.62,17.6,0,0,17,10139
0.12,240.94,2,0,0,0,11579
0.154,242.37,6,0,0,0,13019
0.22,239.51,14,0,0,17,14459
0.1,237.12,9.2,0,0,0,15899
0.286,237.37,12,0,0,17,17339
0.122,234.44,6,0,0,0,18779
0.596,232.3,17.6,0,0,16,20219
0.088,231.97,10.2,0,0,0,21659
0.134,239.24,6.2,0,0,18,23099
0.048,237.86,6.6,0,1,17,24539
0.058,242.28,1.2,0,0,0,25979
0.272,236.21,12.2,0,5,17,27419
0.218,233.7,11.4,0,0,17,28859
0.138,236.78,3.8,0,0,0,30299
0.438,230.41,22.6,0,37,16,31739
0.132,236.49,6.6,0,0,17,33179
0.176,239.16,9.4,0,0,17,34619
0.412,239.26,15,0,2,17,36059
0.374,234.8,17.4,0,0,17,37499
0.122,238.34,11.4,0,0,18,38939
0.278,237.98,7.6,0,0,0,40379
0.058,235.03,13,0,0,17,41819
0.126,238.22,11,0,0,17,43259
0.166,235.42,15,0,0,17,44699
0.112,239.45,8,0,0,0,46139
0.218,236.05,13.2,0,0,17,47579
0,238.85,1,0,0,0,49019
0.052,230.68,14.6,0,0,16,50459
0.336,234.76,12.6,0,4,16,51899
0.13,239.25,5.2,0,0,0,53339
0,242.3,8.2,0,0,0,54779
0.09,235.72,8.6,0,2,0,56219
0.142,241.17,9,1,0,18,57659
0,240.68,1.6,0,0,0,59099
0,235.94,6.6,0,0,17,60539
0.244,235.29,14.4,0,0,17,61979
0,235.18,8.4,0,0,17,63419
0.154,237.18,11.4,0,0,17,64859
0.276,236.1,13,0,1,17,66299
0.316,237.5,10.8,0,2,17,67739
0.228,239.46,8.8,0,0,18,69179
0.344,233.76,16,0,1,16,70619
0.108,237.47,9,0,0,17,72059
0.202,239.02,2.6,0,1,0,73499
0.25,242.23,3,0,0,0,74939
0,236.33,9.2,0,0,0,76379
0.216,238.24,7.2,0,1,18,77819
0.222,237.69,2,0,0,0,79259
0.346,235.9,17,0,2,17,80699
0,234.83,10.2,0,0,17,82139
0.166,238.22,5.2,0,0,0,83579
0.208,235.34,13,0,0,17,85019
0,235.59,9.6,0,0,0,86459
0,235.97,1.4,0,0,0,87899
0.11,236.86,2,0,0,0,89339
0.066,237.15,1.8,0,0,0,90779
0.288,233.98,14.8,19,0,0,92219
0.16,235.45,12.2,0,1,17,93659
0,238.88,1.2,0,0,0,95099
0.09,239.31,5.4,0,1,0,96539
0.208,237.36,5.2,0,0,0,97979
0,241.68,1,0,0,0,99419
0.092,235.14,1.2,0,2,0,100859
0,240.53,1,0,0,0,102299
0,243.41,0.8,0,0,0,103739
0,244.9,1,0,0,0,105179
0.118,241.6,5.6,0,0,17,106619
0,239.41,0.8,0,0,0,108059
0,238.1,0.8,0,0,0,109499
0.118,239.69,1.4,0,0,0,110939
0.17,235.92,18.8,0,33,17,112379
0.58,237.28,15.4,0,29,0,113819
0.194,237.62,2.8,0,2,0,115259
0.102,240.62,1.4,0,0,0,116699
0.082,242.2,1.6,0,0,0,118139
0,240.68,1.2,0,0,0,119579
0.202,241.34,2.4,0,1,0,121019
0.052,240.11,7.6,0,2,18,122459
0.192,238.56,6.4,0,0,17,123899
0,240.91,5.6,0,0,18,125339
0.114,239.22,1.4,0,0,0,126779
0.382,239.76,7.8,0,1,18,128219
0.162,233.8,13,0,0,17,129659
0.084,237.12,8.4,0,0,17,131099
0.458,236.66,20.2,0,39,17,132539
0.08,236.81,6,0,0,17,133979
0.214,240.13,2,0,0,0,135419
0.124,240.44,4,0,9,0,136859
0.09,243.01,1.2,0,0,0,138299
0,241.31,5.6,0,0,17,139739
0.072,239.42,11.6,0,0,18,141179
0.108,241.7,1.4,0,1,0,142619
0.132,239.36,1.8,0,0,0,144059
0.076,238.91,1.6,0,0,0,145499
0.15,241.41,2,0,0,0,146939
0.156,240.14,6.4,0,0,18,148379
0,244.71,1.2,0,0,0,149819
0,236.33,21.6,0,36,18,151259
0.588,236.77,8.2,1,2,17,152699
0.076,240.19,1.2,0,0,0,154139
0,242.04,1.2,0,0,0,155579
0.216,239.9,7.8,0,1,18,157019
0.294,243.86,2.2,0,0,0,158459
0,238.48,13.2,0,29,17,159899
0.238,240.2,2.2,0,1,0,161339
0.11,241.45,1.2,0,1,0,162779
0.226,240.2,6,0,1,18,164219
0.21,240.58,2.8,0,0,0,165659
0.244,241.61,1.8,0,1,0,167099
0.234,239.56,1.8,0,1,0,168539
0.332,238.91,2.2,0,1,0,169979
0,240.09,0.8,0,0,0,171419
0.248,238.24,1.6,0,1,0,172859
0.218,240.42,5.6,0,0,18,174299
0,241.24,0.6,0,0,0,175739
0.114,243.44,1.4,0,2,0,177179
0,242.19,1,0,1,0,178619
0.1,238.91,1.4,0,2,0,180059
0.258,236.33,7.4,13,0,0,181499
0.222,242.57,3.2,0,1,0,182939
0,234.41,0.6,0,0,0,184379
0.172,233.67,5.6,0,0,16,185819
0,236.92,0.6,0,0,0,187259
0,234.34,4.8,0,0,17,188699
0,237.82,1.6,0,0,0,190139
0.05,234.86,1.2,0,0,0,194459
0.052,233.03,2.2,0,1,0,195899
0.084,234.61,1.2,0,0,0,197339
0.198,237.14,1.6,0,0,0,198779
0.104,233.87,1.2,0,0,0,200219
0.064,232.73,5.6,0,0,16,201659
0.176,234.88,6.2,0,1,17,203099
0.192,232.88,6.8,0,2,16,204539
0.218,235.22,3.8,0,0,0,205979
0.126,237,1.2,0,0,0,207419
0.114,235.88,1.4,0,0,0,208859
0.072,235.81,5.4,0,0,17,210299
0.228,235.18,2,0,1,0,211739
0.318,236.36,3,0,0,0,213179
0.37,234.76,6.6,0,2,17,214619
0.064,236.13,1.6,0,0,0,216059
0,236.07,5,0,6,0,217499
0,235.67,1.4,0,0,0,218939
0.076,234.94,1.6,0,0,0,220379
0.156,233.06,6.2,0,0,17,221819
0.326,235.22,4.8,1,1,0,223259
0.1,237.01,1.6,0,0,0,224699
0.05,235.42,0.8,0,0,0,226139
0.068,237.68,1.2,0,1,0,227579
0.192,237.71,1.8,0,1,0,229019
0.07,233.35,5.8,0,0,16,230459
0.066,238.05,1.4,0,0,0,231899
0.448,233.08,9,0,1,17,233339
0.198,234.72,7,1,0,17,234779
0,237.14,1,0,0,0,236219
0,237.5,1.4,0,1,0,237659
0.066,233.19,5.4,0,0,16,239099
0.096,236.54,1.6,0,0,0,240539
0.324,233.26,7.2,1,1,17,241979
0,232.82,7.2,0,0,17,243419
0,237,0.8,0,0,0,244859
0,236.58,0.8,0,0,0,246299
0.066,237.14,1.4,0,0,0,247739
0,236.04,3.2,0,0,0,249179
0,241.19,6.2,1,0,18,250619
0.058,242.59,0.6,0,0,0,253499
0.226,240.27,1.8,0,0,0,254939
0.318,237.45,12.4,38,0,0,256379
0.25,240.26,1.4,0,2,0,257819
0,241.08,5.2,0,0,18,259259
0.248,239.94,5.8,0,1,17,260699
0.324,238.96,10,1,1,18,262139
0.054,237.99,14.8,0,4,17,263579
0.354,239.26,2,0,1,0,265019
0.142,240.3,2.4,0,0,0,266459
0.144,243.94,1,0,0,0,267899
0.2,239.1,5.4,0,1,17,269339
0.13,240.79,1,0,0,0,270779
