Row ID,Battery Life,Beach Name,TSNE-0,TSNE-1,Measurement Timestamp,Turbidity,Water Temperature,Wave Height,Wave Period,t_0_trx,t_1_trx,AscendingManifold,MorseSmaleManifold
24116,2.38514,3,-75.9573,-40.7176,1464256800,-0.150173,1.70546,-1.65839,3.94567,16,79,10,11
24117,2.11071,3,-75.9424,-40.7225,1464260400,-0.109216,-1.53749,-0.86005,0.0764631,16,79,10,11
24118,1.97349,3,-75.9255,-40.728,1464264000,-0.108241,-1.53749,-0.790629,0.0764631,16,79,10,11
24119,1.83628,3,-75.9062,-40.7343,1464267600,-0.110191,-1.50801,-0.732778,0.0764631,16,79,10,11
24120,1.69906,3,-75.8837,-40.7417,1464271200,-0.10304,-1.39008,-0.767488,0.0764631,16,79,10,11
24121,1.83628,2,-75.857,-40.7504,1464274800,-0.150173,-1.77334,-0.698067,-0.568405,16,79,10,11
24122,1.56185,3,-75.857,-40.7504,1464274800,-0.108241,-1.33112,-0.755918,0.0764631,16,79,10,11
24123,2.24792,2,-75.8242,-40.7611,1464278400,-0.150173,-1.62593,-0.721208,-0.568405,16,79,10,11
24124,1.83628,3,-75.8242,-40.7611,1464278400,-0.107265,-1.50801,-0.200549,-0.568405,16,79,10,11
24125,2.11071,2,-75.7843,-40.7741,1464282000,-0.150173,-1.80282,-0.802199,2.65594,16,79,10,11
24126,1.83628,3,-75.7843,-40.7741,1464282000,-0.108241,-1.24268,-0.698067,-0.568405,16,79,10,11
24127,2.24792,2,-75.7361,-40.7898,1464285600,-0.150173,-1.80282,-0.512944,2.01107,16,79,10,11
24128,1.83628,3,-75.7361,-40.7898,1464285600,-0.104665,-1.15423,-0.593935,0.721331,16,79,10,11
24129,2.24792,2,-75.6725,-40.8105,1464289200,-0.150173,-1.74386,-0.732778,1.3662,16,79,10,11
24130,1.83628,3,-75.6725,-40.8105,1464289200,-0.10499,-1.44905,-0.385672,-0.568405,16,79,10,11
24131,2.11071,2,-75.5942,-40.836,1464292800,-0.150173,-1.8323,-0.906331,0.721331,16,79,10,11
24132,1.83628,3,-75.5942,-40.836,1464292800,-0.10564,-1.65541,-0.640216,-1.21327,16,79,10,11
24133,2.11071,2,-75.4983,-40.8671,1464296400,-0.150173,-1.59645,-0.906331,0.721331,16,79,10,11
24134,1.83628,3,-75.4983,-40.8671,1464296400,-0.112466,-1.6849,-0.732778,-0.568405,16,79,10,11
24135,2.11071,2,-75.3855,-40.9037,1464300000,-0.150173,-1.56697,-0.83691,-0.568405,17,79,10,11
24136,1.83628,3,-75.3855,-40.9037,1464300000,-0.101414,-1.47853,-1.06831,0.0764631,17,79,10,11
24137,2.11071,2,-75.2551,-40.9459,1464303600,-0.150173,-1.62593,-0.998892,3.94567,17,78,10,11
24138,1.83628,3,-75.2551,-40.9459,1464303600,-0.111491,-1.56697,-0.698067,-0.568405,17,78,10,11
24139,2.11071,2,-75.1135,-40.9916,1464307200,-0.150173,-1.8323,-0.744348,2.01107,17,78,10,11
24140,1.83628,3,-75.1135,-40.9916,1464307200,-0.117342,-1.56697,-0.478233,-1.21327,17,78,10,11
24141,1.97349,2,-74.9551,-41.0427,1464310800,-0.150173,-1.89127,-0.86005,2.01107,17,78,10,11
24142,1.83628,3,-74.9551,-41.0427,1464310800,-0.118317,-1.59645,-1.17245,2.01107,17,78,10,11
24143,1.97349,2,-74.79,-41.0958,1464314400,-0.150173,-1.92075,-0.906331,1.3662,18,78,10,11
24144,1.83628,3,-74.79,-41.0958,1464314400,-0.115717,-1.65541,-0.917901,1.3662,18,78,10,11
24145,1.97349,2,-74.6184,-41.1507,1464318000,-0.150173,-2.06815,-0.917901,0.0764631,18,78,10,11
24146,1.69906,3,-74.6184,-41.1507,1464318000,-0.116692,-1.62593,-1.07988,0.721331,18,78,10,11
24147,1.97349,2,-74.442,-41.2069,1464321600,-0.150173,-2.09764,-1.02203,1.3662,18,78,10,11
24148,1.69906,3,-74.442,-41.2069,1464321600,-0.118643,-1.59645,-1.12616,0.0764631,18,78,10,11
24149,1.97349,2,-74.2655,-41.263,1464325200,-0.150173,-2.00919,-0.952612,3.3008,19,78,10,11
24150,1.69906,3,-74.2655,-41.263,1464325200,-0.117017,-1.65541,-1.24187,3.94567,19,78,10,11
24151,1.97349,2,-74.0879,-41.319,1464328800,-0.150173,-1.80282,-1.06831,3.3008,19,78,10,11
24152,1.69906,3,-74.0879,-41.319,1464328800,-0.116692,-1.74386,-1.16088,-1.21327,19,78,10,11
24153,1.97349,2,-73.9088,-41.3753,1464332400,-0.150173,-1.95023,-0.952612,2.65594,19,78,10,11
24154,1.69906,3,-73.9088,-41.3753,1464332400,-0.112141,-1.77334,-1.09145,3.3008,19,78,10,11
24155,1.97349,2,-73.7313,-41.4305,1464336000,-0.150173,-2.21556,-0.732778,0.0764631,19,78,10,11
24156,1.69906,3,-73.7313,-41.4305,1464336000,-0.107591,-1.77334,-1.24187,1.3662,19,78,10,11
24157,1.83628,2,-73.554,-41.4853,1464339600,-0.150173,-2.39245,-0.767488,1.3662,20,77,10,11
24158,1.69906,3,-73.554,-41.4853,1464339600,-0.106615,-1.74386,-1.07988,1.3662,20,77,10,11
24159,1.83628,2,-73.3784,-41.5391,1464343200,-0.150173,-2.24504,-1.0336,2.65594,20,77,10,11
24160,1.69906,3,-73.3784,-41.5391,1464343200,-0.110516,-1.71438,-0.917901,-1.21327,20,77,10,11
24161,1.83628,2,-73.2016,-41.5927,1464346800,-0.150173,-2.12712,-0.998892,3.3008,20,77,10,11
24162,1.69906,3,-73.2016,-41.5927,1464346800,-0.10564,-1.65541,-0.779059,-0.568405,20,77,10,11
24163,1.83628,2,-73.028,-41.6448,1464350400,-0.150173,-2.27452,-0.906331,3.3008,21,77,10,11
24164,1.69906,3,-73.028,-41.6448,1464350400,-0.109866,-1.59645,-0.83691,3.94567,21,77,10,11
24165,1.83628,2,-72.8524,-41.6969,1464354000,-0.150173,-2.304,-0.894761,3.3008,21,77,10,11
