Row ID,Battery Life,Beach Name,UMAP-0,UMAP-1,Measurement Timestamp,Turbidity,Water Temperature,Wave Height,Wave Period,u_0_trx,u_1_trx,AscendingManifold,MorseSmaleManifold
0,-2.28016,2,-53.0555,-13.6314,1377849600,-0.111816,0.231392,-1.09145,-0.568405,56,126,49,50
1,-2.28016,4,-53.0555,-13.6315,1377990000,-0.0360778,0.585168,0.655646,0.0764631,56,126,49,50
2,-2.28016,3,-53.0555,-13.6314,1378177200,0.0113807,0.703093,0.771348,2.01107,56,126,49,50
3,-2.28016,1,-53.0555,-13.6314,1378224000,-0.0321771,1.08635,-0.00385538,1.3662,56,126,49,50
4,-0.0847284,0,-53.0556,-13.6314,1379498400,0.0955708,-0.181347,-0.397242,0.0764631,56,126,49,50
5,2.11071,5,-55.9206,-14.3964,1400677200,-0.126119,2.23612,-1.86666,3.94567,51,125,49,50
6,0.875775,1,-55.7289,-14.4877,1401278400,-0.109216,-0.977344,-0.316251,0.0764631,51,124,49,50
7,1.1502,2,-55.7289,-14.4877,1401278400,-0.0409536,-1.50801,1.43085,0.0764631,51,124,49,50
8,0.875775,1,-55.7107,-14.496,1401282000,-0.108566,-0.947863,-0.142698,0.0764631,51,124,49,50
9,1.1502,2,-55.7107,-14.4961,1401282000,-0.0617573,-1.47853,1.52341,-0.568405,51,124,49,50
10,0.875775,1,-55.6908,-14.5051,1401285600,-0.107265,-0.8889,0.123417,0.0764631,51,124,49,50
11,1.1502,2,-55.6908,-14.5051,1401285600,-0.0536309,-1.39008,1.77795,-0.568405,51,124,49,50
12,0.875775,1,-55.6679,-14.5156,1401289200,-0.107591,-0.800456,0.250689,0.0764631,51,124,49,50
13,1.1502,2,-55.6679,-14.5156,1401289200,-0.0103982,-1.47853,1.77795,-0.568405,51,124,49,50
14,0.875775,1,-55.6408,-14.5278,1401292800,-0.10564,-0.712012,0.227549,0.0764631,51,124,49,50
15,1.1502,2,-55.6409,-14.5278,1401292800,0.00813016,-1.50801,1.92837,-0.568405,51,124,49,50
16,0.875775,1,-55.6081,-14.5426,1401296400,-0.102065,-0.68253,0.33168,0.0764631,51,124,49,50
17,1.1502,2,-55.6081,-14.5426,1401296400,0.0143063,-1.59645,1.9168,0.0764631,51,124,49,50
18,0.875775,1,-55.5689,-14.5603,1401300000,-0.0916627,-0.712012,0.158127,0.0764631,51,124,49,50
19,1.1502,2,-55.5689,-14.5603,1401300000,0.0370603,-1.56697,2.10192,-0.568405,51,124,49,50
20,0.875775,1,-55.515,-14.5846,1401303600,-0.0910126,-0.741493,0.227549,0.0764631,51,124,49,50
21,1.1502,2,-55.515,-14.5846,1401303600,0.0552636,-1.56697,1.98622,-0.568405,51,124,49,50
22,0.875775,1,-55.4463,-14.6155,1401307200,-0.0906875,-0.741493,0.250689,0.0764631,51,124,49,50
23,1.1502,2,-55.4463,-14.6155,1401307200,0.0737919,-1.50801,2.37961,0.0764631,51,124,49,50
24,1.1502,2,-55.359,-14.6547,1401310800,0.0809432,-1.47853,2.15977,0.721331,52,124,49,50
25,0.875775,1,-55.359,-14.6547,1401310800,-0.0884121,-0.800456,0.077136,0.0764631,52,124,49,50
26,0.875775,1,-55.2504,-14.7036,1401314400,-0.0906875,-0.829937,0.0655658,0.0764631,52,124,49,50
27,1.1502,2,-55.2504,-14.7036,1401314400,0.0734668,-1.47853,1.97465,0.0764631,52,124,49,50
28,1.1502,2,-55.1174,-14.7632,1401318000,0.0877694,-1.53749,1.81267,0.0764631,52,124,49,50
29,0.875775,1,-55.1174,-14.7633,1401318000,-0.0952383,-0.8889,0.0308552,0.0764631,52,124,49,50
30,0.875775,1,-54.8047,-14.9033,1401325200,-0.0975137,-0.947863,-0.177408,0.0764631,52,124,49,50
31,1.1502,2,-54.8047,-14.9033,1401325200,0.0832186,-1.56697,1.51184,0.0764631,52,124,49,50
32,0.875775,1,-54.6414,-14.976,1401328800,-0.099139,-0.977344,-0.235259,0.0764631,53,124,49,50
33,1.1502,2,-54.6414,-14.976,1401328800,0.0562388,-1.56697,1.69696,-0.568405,53,124,49,50
34,0.875775,1,-54.4838,-15.0453,1401332400,-0.0916627,-1.00683,-0.131128,0.0764631,53,123,49,50
35,1.01299,2,-54.4838,-15.0453,1401332400,0.0702163,-1.59645,1.28044,0.0764631,53,123,49,50
36,0.875775,1,-54.3347,-15.1098,1401336000,-0.0910126,-1.00683,-0.212119,0.0764631,53,123,49,50
37,1.01299,2,-54.3347,-15.1098,1401336000,0.0536383,-1.59645,1.52341,-0.568405,53,123,49,50
38,0.875775,1,-54.1844,-15.1737,1401339600,-0.0939381,-1.06579,-0.188979,-0.568405,54,123,49,50
39,1.01299,2,-54.1844,-15.1737,1401339600,0.0328346,-1.62593,1.24573,-0.568405,54,123,49,50
40,0.875775,1,-54.0363,-15.2357,1401343200,-0.0939381,-1.06579,-0.26997,-0.568405,54,123,49,50
41,1.01299,2,-54.0363,-15.2357,1401343200,0.0139812,-1.6849,0.852339,0.0764631,54,123,49,50
42,0.875775,1,-53.8862,-15.2958,1401346800,-0.093613,-1.06579,-0.30468,0.0764631,54,123,49,50
43,1.01299,2,-53.8862,-15.2958,1401346800,0.0360852,-1.6849,0.701927,0.0764631,54,123,49,50
44,0.875775,1,-53.7331,-15.3558,1401350400,-0.0926379,-1.09527,-0.327821,0.0764631,54,123,49,50
45,1.01299,2,-53.7331,-15.3558,1401350400,0.0308842,-1.65541,0.806058,0.0764631,54,123,49,50
46,0.875775,1,-53.5782,-15.4147,1401354000,-0.0968636,-1.06579,-0.570795,0.0764631,55,123,49,50
47,1.01299,2,-53.5782,-15.4147,1401354000,0.0607896,-1.65541,1.36143,-0.568405,55,123,49,50
48,0.875775,1,-53.4207,-15.4729,1401357600,-0.093288,-1.03631,-0.524514,0.0764631,55,123,49,50
49,1.01299,2,-53.4207,-15.4729,1401357600,0.0341348,-1.59645,1.18787,-1.21327,55,123,49,50
50,0.875775,1,-53.2602,-15.5312,1401361200,-0.0984889,-0.977344,-0.385672,0.0764631,55,123,49,50
51,1.01299,2,-53.2602,-15.5312,1401361200,0.0578641,-1.53749,1.29201,0.721331,55,123,49,50
52,0.875775,1,-53.0966,-15.5883,1401364800,-0.0997891,-0.918381,-0.350961,0.0764631,55,123,49,50
53,1.01299,2,-53.0966,-15.5883,1401364800,0.0510378,-1.44905,1.46556,-0.568405,55,123,49,50
54,0.875775,1,-52.9347,-15.6443,1401368400,-0.098814,-0.859418,-0.235259,-1.21327,56,122,49,50
55,1.01299,2,-52.9348,-15.6444,1401368400,0.0539634,-1.39008,1.24573,0.721331,56,122,49,50
56,0.875775,1,-52.7707,-15.7006,1401372000,-0.103365,-0.829937,-0.177408,0.721331,56,122,49,50
57,1.01299,2,-52.7707,-15.7007,1401372000,0.0565638,-1.3606,1.67382,-0.568405,56,122,49,50
58,0.875775,1,-52.6048,-15.7575,1401375600,-0.104665,-0.770974,-0.119557,0.0764631,56,122,49,50
59,1.01299,2,-52.6048,-15.7574,1401375600,0.0442116,-1.30164,1.40771,-0.568405,56,122,49,50
60,0.875775,1,-52.4383,-15.815,1401379200,-0.10629,-0.770974,-0.0501362,0.0764631,57,122,40,41
61,1.01299,2,-52.4383,-15.815,1401379200,0.0533132,-1.27216,1.6044,-0.568405,57,122,40,41
62,0.875775,1,-52.2736,-15.8727,1401382800,-0.10304,-0.800456,-0.0732766,-0.568405,57,122,40,41
63,1.01299,2,-52.2736,-15.8727,1401382800,0.0793179,-1.18371,1.31515,-0.568405,57,122,40,41
64,0.875775,1,-52.109,-15.9315,1401386400,-0.10629,-0.770974,0.0539956,-0.568405,57,122,40,41
65,1.01299,2,-52.109,-15.9315,1401386400,0.0614397,-1.24268,1.43085,-0.568405,57,122,40,41
66,0.875775,1,-51.9438,-15.9918,1401390000,-0.10499,-0.800456,0.00771482,-0.568405,57,122,40,41
67,1.01299,2,-51.9438,-15.9918,1401390000,0.0679409,-1.18371,1.30358,-0.568405,57,122,40,41
68,0.875775,1,-51.7799,-16.0533,1401393600,-0.102715,-0.829937,0.0887062,0.0764631,58,122,48,49
69,1.01299,2,-51.7798,-16.0533,1401393600,0.0503877,-1.24268,1.43085,-0.568405,58,122,48,49
70,0.875775,1,-51.6158,-16.1167,1401397200,-0.104665,-0.800456,0.169698,-0.568405,58,122,48,49
