Row ID,Battery Life,Beach Name,TSNE-0,TSNE-1,Measurement Timestamp,Turbidity,Water Temperature,Wave Height,Wave Period
0,-0.0847284,0,5.33561,10.1738,1379498400,0.0955708,-0.181347,-0.397242,0.0764631
1,1.56185,0,-33.8741,-0.749676,1402574400,-0.0380281,1.73494,-1.65839,3.3008
2,1.56185,0,-33.8748,-0.468361,1402578000,-0.0425789,-0.417198,1.90523,3.94567
3,1.56185,0,-33.8802,-0.125128,1402581600,-0.0549311,-0.594086,-0.443523,0.0764631
4,1.42463,0,-33.8897,0.256335,1402585200,-0.0780103,-0.653049,-0.362531,0.0764631
5,1.28742,0,-33.903,0.68964,1402588800,-0.0806107,-0.623568,-0.478233,0.0764631
6,1.28742,0,-33.9198,1.18991,1402592400,-0.087762,-0.653049,-0.628646,0.0764631
7,1.1502,0,-33.9386,1.7217,1402596000,-0.087762,-0.741493,-0.721208,0.0764631
8,1.01299,0,-33.9575,2.26698,1402599600,-0.0945882,-0.770974,-0.582365,-0.568405
9,1.01299,0,-33.977,2.80229,1402603200,-0.0965386,-0.829937,-0.374102,0.0764631
10,0.875775,0,-34.0008,3.33062,1402606800,-0.0880871,-0.859418,-0.2584,-0.568405
11,1.1502,0,-34.0336,3.836,1402610400,-0.0981639,-0.8889,-0.0269958,-0.568405
12,1.28742,0,-34.0756,4.26875,1402614000,-0.0955634,-0.8889,-0.0732766,-0.568405
13,1.28742,0,-34.1278,4.63777,1402617600,-0.093288,-0.918381,-0.0501362,-0.568405
14,1.28742,0,-35.6672,10.4055,1402621200,-0.0919878,-0.918381,-0.0848468,0.0764631
15,1.28742,0,-35.778,10.7824,1402624800,-0.0965386,-0.918381,0.435812,-0.568405
16,1.28742,0,-35.9136,11.2155,1402628400,-0.0962135,-0.947863,0.401102,-0.568405
17,1.28742,0,-36.0767,11.7077,1402632000,-0.093613,-0.977344,0.366391,-0.568405
18,1.28742,0,-36.2456,12.2022,1402635600,-0.0949133,-1.00683,0.181268,-0.568405
19,1.28742,0,-36.4076,12.692,1402639200,-0.098814,-1.00683,-0.177408,-1.21327
20,1.28742,0,-36.572,13.2344,1402642800,-0.101414,-1.06579,0.169698,-0.568405
21,1.1502,0,-36.7131,13.7824,1402646400,-0.10304,-1.03631,0.343251,-0.568405
22,1.1502,0,-36.818,14.3004,1402650000,-0.10304,-0.977344,0.32011,-0.568405
23,1.1502,0,-36.8961,14.8355,1402653600,-0.107265,-0.947863,0.343251,-0.568405
24,1.1502,0,-36.9501,15.3883,1402657200,-0.110191,-0.8889,0.30854,-0.568405
25,1.1502,0,-36.9845,15.951,1402660800,-0.105965,-0.800456,-0.0848468,-0.568405
26,1.1502,0,-37.0056,16.5179,1402664400,-0.110841,-0.712012,-0.235259,-1.21327
27,1.1502,0,-37.0215,17.0723,1402668000,-0.113117,-0.623568,-0.30468,-0.568405
28,1.1502,0,-37.0394,17.5995,1402671600,-0.115392,-0.535124,-0.24683,-1.21327
29,1.1502,0,-37.068,18.0869,1402675200,-0.114092,-0.505642,-0.30468,0.0764631
30,1.1502,0,-37.1052,18.4965,1402678800,-0.112141,-0.505642,-0.420382,-0.568405
31,1.1502,0,-37.1563,18.8763,1402682400,-0.111816,-0.564605,-0.223689,-0.568405
32,1.1502,0,-38.4692,24.6446,1402686000,-0.112791,-0.623568,0.0655658,-1.21327
33,1.1502,0,-38.5694,24.9791,1402689600,-0.112141,-0.712012,-0.339391,1.3662
34,1.1502,0,-38.706,25.3699,1402693200,-0.113767,-0.741493,-0.489804,0.0764631
35,1.1502,0,-38.8901,25.8245,1402696800,-0.115067,-0.770974,-0.524514,-0.568405
36,1.1502,0,-39.1119,26.2889,1402700400,-0.113117,-0.800456,-0.559225,0.0764631
37,1.1502,0,-39.3677,26.7401,1402704000,-0.114092,-0.623568,-0.455093,0.0764631
38,1.1502,0,-39.6583,27.172,1402707600,-0.115392,-0.741493,-0.501374,-0.568405
39,1.1502,0,-39.9847,27.5805,1402711200,-0.113442,-0.741493,-0.431953,-0.568405
40,1.1502,0,-40.3424,27.9534,1402714800,-0.111816,-0.829937,-0.536084,0.0764631
41,1.1502,0,-40.7372,28.2912,1402718400,-0.108241,-0.859418,-0.640216,0.0764631
42,1.01299,0,-41.1658,28.5839,1402722000,-0.114092,-0.8889,-0.709637,0.0764631
43,1.01299,0,-41.6221,28.8228,1402725600,-0.114417,-0.918381,-0.744348,0.0764631
44,1.01299,0,-42.1042,29.0041,1402729200,-0.115717,-0.918381,-0.86005,0.0764631
45,1.01299,0,-42.6063,29.124,1402732800,-0.116042,-0.8889,-0.929471,0.0764631
46,1.01299,0,-43.1216,29.1827,1402736400,-0.116042,-0.859418,-0.894761,0.0764631
47,1.01299,0,-43.6506,29.1815,1402740000,-0.117992,-0.829937,-0.894761,0.0764631
48,1.01299,0,-44.167,29.1215,1402743600,-0.119293,-0.712012,-0.84848,-0.568405
49,1.01299,0,-44.6805,29.0039,1402747200,-0.118643,-0.623568,-0.593935,0.0764631
50,1.01299,0,-45.1772,28.829,1402750800,-0.116042,-0.505642,-0.478233,0.721331
51,1.01299,0,-45.6515,28.5959,1402754400,-0.118968,-0.505642,-0.131128,0.721331
52,1.01299,0,-46.0879,28.3066,1402758000,-0.119943,-0.564605,-0.2584,0.0764631
53,1.01299,0,-46.4817,27.9598,1402761600,-0.119618,-0.535124,0.204408,-1.21327
54,1.01299,0,-46.8183,27.564,1402765200,-0.120593,-0.505642,0.2854,-1.21327
55,1.01299,0,-47.0967,27.1166,1402768800,-0.121568,-0.505642,0.435812,-1.21327
56,1.01299,0,-47.3052,26.6401,1402772400,-0.120918,-0.505642,0.227549,-1.21327
57,1.01299,0,-47.4468,26.1376,1402776000,-0.119943,-0.535124,0.215978,-0.568405
58,1.01299,0,-47.5202,25.6366,1402779600,-0.120593,-0.564605,-0.0154256,-1.21327
59,1.01299,0,-47.5308,25.1338,1402783200,-0.119943,-0.594086,-0.350961,0.0764631
60,1.01299,0,-47.4791,24.5888,1402786800,-0.119943,-0.653049,-0.30468,-0.568405
61,1.01299,0,-47.3712,24.0532,1402790400,-0.121568,-0.712012,-0.107987,0.0764631
62,1.01299,0,-47.2153,23.5806,1402794000,-0.117667,-0.741493,-0.350961,0.0764631
63,1.01299,0,-46.9998,23.1273,1402797600,-0.118968,-0.770974,-0.385672,-1.21327
64,0.875775,0,-46.7211,22.6903,1402801200,-0.117667,-0.800456,-0.327821,1.3662
65,1.01299,0,-46.382,22.2823,1402804800,-0.115392,-0.829937,-0.489804,-0.568405
66,0.875775,0,-45.9989,21.9248,1402808400,-0.120918,-0.8889,-0.466663,-0.568405
67,0.875775,0,-45.5778,21.6198,1402812000,-0.122868,-0.8889,-0.29311,-0.568405
68,0.875775,0,-45.1383,21.3788,1402815600,-0.122868,-0.8889,-0.165838,-0.568405
69,0.875775,0,-44.6855,21.1989,1402819200,-0.124494,-0.8889,-0.26997,-0.568405
