Row ID,Battery Life,Beach Name,Component_0,Component_1,Component_2,Measurement Timestamp,Turbidity,UMAP-0,UMAP-1,Water Temperature,Wave Height,Wave Period
0,0,0,-6.30652,-2.43266,4.07991,1379498400,0,3.5627,12.7825,0,0,0
1,2,0,8.73696,-25.5697,-11.4048,1402574400,0,-1.48652,10.548,2,-2,3
2,2,0,9.14735,-25.6246,-11.4325,1402578000,0,-1.70645,10.5204,0,2,4
3,2,0,9.58354,-25.6965,-11.4568,1402581600,0,-1.77768,10.5138,-1,0,0
4,1,0,10.0515,-25.7841,-11.4771,1402585200,0,-10.4214,4.83383,-1,0,0
5,1,0,10.5616,-25.8858,-11.4932,1402588800,0,7.96535,-9.11944,-1,0,0
6,1,0,11.1263,-25.9986,-11.5061,1402592400,0,-8.09697,-3.71085,-1,-1,0
7,1,0,11.7244,-26.106,-11.5157,1402596000,0,-9.19157,-8.0046,-1,-1,0
8,1,0,12.332,-26.1927,-11.5225,1402599600,0,18.2678,-4.55493,-1,-1,-1
9,1,0,12.9332,-26.2459,-11.527,1402603200,0,0.0276408,-12.2157,-1,0,0
10,1,0,13.5389,-26.2592,-11.5301,1402606800,0,0.953933,10.5598,-1,0,-1
11,1,0,14.1434,-26.2267,-11.5327,1402610400,0,16.3591,1.52361,-1,0,-1
12,1,0,14.7437,-26.1436,-11.536,1402614000,0,-7.76826,-2.3287,-1,0,-1
13,1,0,15.336,-26.0072,-11.5408,1402617600,0,-1.16343,-8.27429,-1,0,-1
14,1,0,15.9178,-25.8154,-11.5484,1402621200,0,-8.06349,7.61184,-1,0,0
15,1,0,16.4666,-25.569,-11.5597,1402624800,0,-8.87485,14.1046,-1,0,-1
16,1,0,16.9955,-25.2672,-11.5763,1402628400,0,-2.19788,15.3515,-1,0,-1
17,1,0,17.4862,-24.9176,-11.5995,1402632000,0,-7.99991,14.1643,-1,0,-1
18,1,0,17.9325,-24.5272,-11.6303,1402635600,0,-0.697015,-8.8546,-1,0,-1
19,1,0,18.332,-24.1013,-11.6705,1402639200,0,-7.26493,7.22929,-1,0,-1
20,1,0,18.6999,-23.6187,-11.7239,1402642800,0,3.40359,12.3791,-1,0,-1
21,1,0,19.0269,-23.0991,-11.7908,1402646400,0,0.261284,-5.16001,-1,0,-1
22,1,0,19.2922,-22.5839,-11.8694,1402650000,0,11.1557,3.67748,-1,0,-1
23,1,0,19.5057,-22.0441,-11.9658,1402653600,0,9.63546,-10.2552,-1,0,-1
24,1,0,19.6724,-21.4664,-12.0849,1402657200,0,-5.27503,-1.58854,-1,0,-1
25,1,0,19.78,-20.8855,-12.2258,1402660800,0,-12.5633,-3.37253,-1,0,-1
26,1,0,19.8276,-20.3049,-12.3925,1402664400,0,16.4305,2.76791,-1,0,-1
27,1,0,19.8178,-19.725,-12.5882,1402668000,0,10.5453,-10.2563,-1,0,-1
28,1,0,19.7512,-19.1673,-12.8143,1402671600,0,17.5547,8.7034,-1,0,-1
29,1,0,19.6316,-18.6478,-13.0675,1402675200,0,15.645,14.6479,-1,0,0
30,1,0,19.4629,-18.1878,-13.3558,1402678800,0,8.28246,0.0061182,-1,0,-1
31,1,0,19.2314,-17.7445,-13.7003,1402682400,0,9.12988,-9.06694,-1,0,-1
32,1,0,18.9621,-17.3579,-14.0752,1402686000,0,19.5146,1.20629,-1,0,-1
33,1,0,18.6706,-17.0513,-14.4642,1402689600,0,13.1939,0.571141,-1,0,1
34,1,0,18.3485,-16.8119,-14.893,1402693200,0,10.4794,-4.41965,-1,0,0
35,1,0,18.0013,-16.6306,-15.3515,1402696800,0,-1.19576,18.7165,-1,-1,-1
36,1,0,17.6433,-16.5139,-15.8224,1402700400,0,-3.83557,-4.77866,-1,-1,0
37,1,0,17.2863,-16.4651,-16.3074,1402704000,0,-4.75645,-0.114367,-1,0,0
38,1,0,16.9247,-16.4863,-16.7937,1402707600,0,-2.19282,-12.8915,-1,-1,-1
39,1,0,16.5671,-16.5846,-17.2694,1402711200,0,1.76876,-12.3313,-1,0,-1
40,1,0,16.2357,-16.759,-17.7399,1402714800,0,0.335279,2.51595,-1,-1,0
41,1,0,15.9079,-17.0075,-18.1841,1402718400,0,-11.9819,8.82178,-1,-1,0
42,1,0,15.5971,-17.335,-18.5916,1402722000,0,11.3505,-3.87455,-1,-1,0
43,1,0,15.2969,-17.7248,-18.9448,1402725600,0,1.92708,-10.1668,-1,-1,0
44,1,0,15.0131,-18.1611,-19.2354,1402729200,0,17.6379,10.0374,-1,-1,0
45,1,0,14.732,-18.6496,-19.4701,1402732800,0,-8.7066,13.3517,-1,-1,0
46,1,0,14.4689,-19.1719,-19.6459,1402736400,0,10.3478,17.712,-1,-1,0
47,1,0,14.203,-19.7014,-19.7575,1402740000,0,8.87722,-4.85195,-1,-1,0
48,1,0,13.9356,-20.2355,-19.8137,1402743600,0,-9.12936,9.1282,-1,-1,-1
