Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,UMAP-0,UMAP-1,UMAP-2
0,1379498400,0,0,0,0,0,-4.1324096,12.107164,5.350244
0,1402574400,2,0,-2,3,2,4.1646442,-0.36117038,13.019413
0,1402578000,0,0,2,4,2,14.623849,6.7845674,-2.7473652
0,1402581600,-1,0,0,0,2,-1.977223,-0.32472226,-0.134064
0,1402585200,-1,0,0,0,1,7.83352,15.44758,4.5344925
0,1402588800,-1,0,0,0,1,-1.1981059,2.4510014,-5.394957
0,1402592400,-1,0,-1,0,1,8.028763,3.492693,8.141399
0,1402596000,-1,0,-1,0,1,-1.3057722,4.7843833,11.612549
0,1402599600,-1,0,-1,-1,1,-5.231348,8.022631,8.193051
0,1402603200,-1,0,0,0,1,-3.0993657,-0.66375786,6.946214
0,1402606800,-1,0,0,-1,1,8.181189,0.6950976,11.583163
0,1402610400,-1,0,0,-1,1,0.44283122,12.832031,-2.896206
0,1402614000,-1,0,0,-1,1,4.8453135,7.5978923,2.4079747
0,1402617600,-1,0,0,-1,1,-0.49817637,-3.8238428,-0.07150081
0,1402621200,-1,0,0,0,1,11.856786,13.241649,9.019863
0,1402624800,-1,0,0,-1,1,5.1025095,1.5749983,14.7504015
0,1402628400,-1,0,0,-1,1,1.5255308,6.7435474,10.546349
0,1402632000,-1,0,0,-1,1,4.904453,-4.40053,1.7816736
0,1402635600,-1,0,0,-1,1,4.1780376,13.0489,-4.2058787
0,1402639200,-1,0,0,-1,1,8.969025,13.808097,9.185842
0,1402642800,-1,0,0,-1,1,-1.5103301,7.457318,-2.6807313
0,1402646400,-1,0,0,-1,1,1.0521258,-4.7703295,7.7705426
0,1402650000,-1,0,0,-1,1,11.649893,-0.032037012,-2.5293772
0,1402653600,-1,0,0,-1,1,6.121765,1.1379834,5.4500203
0,1402657200,-1,0,0,-1,1,7.491728,-1.4589914,14.0823145
0,1402660800,-1,0,0,-1,1,13.434569,-0.69709694,4.1759925
0,1402664400,-1,0,0,-1,1,11.185778,11.1205225,9.018584
0,1402668000,-1,0,0,-1,1,-6.191988,8.071772,2.5557292
0,1402671600,-1,0,0,-1,1,6.600597,-6.6715198,6.7769203
0,1402675200,-1,0,0,0,1,2.1933708,9.108157,6.3544664
0,1402678800,-1,0,0,-1,1,16.079115,2.71283,6.084677
0,1402682400,-1,0,0,-1,1,4.5887957,1.600639,14.998583
0,1402686000,-1,0,0,-1,1,13.048034,-2.1569157,7.634731
0,1402689600,-1,0,0,1,1,13.630797,-1.8927311,7.2557364
0,1402693200,-1,0,0,0,1,8.098325,10.341913,-2.3427277
0,1402696800,-1,0,-1,-1,1,13.734532,-0.36397997,4.7396784
0,1402700400,-1,0,-1,0,1,10.421181,3.0789015,14.309983
0,1402704000,-1,0,0,0,1,8.212926,11.415501,13.139635
0,1402707600,-1,0,-1,-1,1,13.023172,11.191158,6.3893895
0,1402711200,-1,0,0,-1,1,1.9911652,-1.5314106,-0.93693495
0,1402714800,-1,0,-1,0,1,14.432413,4.207744,7.087139
0,1402718400,-1,0,-1,0,1,2.8045957,13.50575,3.2239325
0,1402722000,-1,0,-1,0,1,2.1928837,15.582544,3.9081438
0,1402725600,-1,0,-1,0,1,1.864308,-0.9638867,-0.12779827
0,1402729200,-1,0,-1,0,1,3.2786026,2.8490927,12.166443
0,1402732800,-1,0,-1,0,1,-3.2054005,4.8155527,9.052488
0,1402736400,-1,0,-1,0,1,2.928967,-0.98095745,-4.464737
0,1402740000,-1,0,-1,0,1,5.4213204,-0.90784794,3.3454762
0,1402743600,-1,0,-1,-1,1,1.3238292,4.2497573,-7.271996
0,1402747200,-1,0,-1,0,1,2.1789613,-4.733158,0.27829444
0,1402750800,-1,0,0,1,1,3.0378559,4.8382554,1.1588686
0,1402754400,-1,0,0,1,1,-2.9157026,2.375824,-0.25242338
0,1402758000,-1,0,0,0,1,9.827793,-2.1142457,-1.4818945
0,1402761600,-1,0,0,-1,1,7.284095,-0.3012798,-5.2777357
0,1402765200,-1,0,0,-1,1,4.37074,13.93121,-0.37473205
0,1402768800,-1,0,0,-1,1,1.633372,9.3325815,-4.8889627
0,1402772400,-1,0,0,-1,1,0.40728396,1.6512392,-3.0581393
0,1402776000,-1,0,0,-1,1,-1.025448,-2.8004975,4.8734436
0,1402779600,-1,0,0,-1,1,-0.56478214,3.4815607,-1.6434181
0,1402783200,-1,0,0,0,1,6.14418,6.6925073,16.284433
0,1402786800,-1,0,0,-1,1,-1.5087534,12.295976,4.657635
0,1402790400,-1,0,0,0,1,-4.512985,12.613806,7.149923
0,1402794000,-1,0,0,0,1,-3.8597803,6.2357273,-0.051879097
0,1402797600,-1,0,0,-1,1,3.9555976,-5.217901,2.7403164
0,1402801200,-1,0,0,1,1,0.9609486,12.402915,10.500074
0,1402804800,-1,0,0,-1,1,11.983101,7.341573,1.1227534
0,1402808400,-1,0,0,-1,1,-3.4436727,7.6519933,-1.3986685
0,1402812000,-1,0,0,-1,1,4.451681,-1.5354737,-2.8368988
0,1402815600,-1,0,0,-1,1,8.626852,3.5526805,11.241865
0,1402819200,-1,0,0,-1,1,1.3258617,9.055376,13.0610285
0,1402822800,-1,0,0,-1,1,7.967113,-4.6920943,-1.1129577
0,1402826400,-1,0,0,-1,1,2.492647,-6.630709,5.0708866
0,1402830000,-1,0,0,-1,1,5.718104,4.6045785,-8.247684
0,1402833600,-1,0,0,-1,1,0.056636952,4.162232,-3.1853807
0,1402837200,-1,0,0,-1,1,2.6042085,10.022895,-4.7852445
0,1402840800,-1,0,0,-1,1,4.787685,-6.977144,8.289321
0,1402844400,-1,0,0,-1,1,0.08789021,-3.2179737,-2.8325987
0,1402848000,-1,0,0,-1,1,-3.757994,4.939176,0.84416145
0,1402851600,-1,0,-1,-1,1,4.087917,9.179517,13.356203
0,1402855200,-1,0,-1,-1,1,-4.300479,0.2703862,11.200884
0,1402858800,-1,0,-1,2,1,5.2156243,12.265412,8.071318
0,1402862400,-1,0,-1,1,1,-6.675844,4.3104653,5.395724
0,1402866000,0,0,-1,1,1,-5.659973,1.657992,10.060648
0,1402869600,0,0,-1,-1,1,-5.0134354,8.7188,4.2194686
0,1402873200,-1,0,-1,-1,1,6.228043,-1.9828494,0.16548778
0,1402876800,-1,0,-1,0,1,-2.1697645,-1.1307154,8.658046
0,1402880400,-1,0,-1,2,1,2.7260678,-4.2192006,10.969455
0,1402884000,-1,0,-1,0,1,14.542413,8.145044,11.813005
0,1402887600,-1,0,-1,1,1,-6.0938306,1.210381,6.5089474
0,1402891200,-1,0,-1,0,1,11.234757,3.7307353,5.4284916
0,1402894800,-1,0,-1,0,1,12.436308,9.931056,0.4488164
0,1402898400,-1,0,-1,0,1,7.916292,4.870188,-2.7080154
0,1402902000,-1,0,-1,1,1,2.3367097,3.6510532,7.077948
0,1402905600,-1,0,-1,0,1,3.6575744,3.2790802,14.46205
0,1402909200,-1,0,-1,0,1,7.651764,15.107191,8.306243
0,1402912800,-1,0,-1,1,1,6.414876,6.4011817,13.804669
0,1402916400,0,0,-1,0,1,9.504468,-1.198572,-1.8256087
0,1402920000,0,0,-1,2,1,7.2613893,16.639585,4.3296313
0,1402923600,0,0,-1,0,1,13.246768,4.8710175,0.7803315
0,1402927200,0,0,-1,0,1,5.193417,4.914165,-2.031638
0,1402930800,0,0,-1,0,1,-6.298719,6.7971864,6.5377283
0,1402934400,0,0,0,0,1,8.32854,-2.9852638,1.0742455
