,Unnamed: 0,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,UMAP-0,UMAP-1,UMAP-2
14366,14366,2.0,1436731200.0,0.0,-0.0,1.0,-1.0,0.0,-5.348528,7.512122,-1.2058842
33302,33302,4.0,1403024400.0,-0.0,-0.0,-0.0,3.0,1.0,-3.9957702,0.6391242,3.2335842
39472,39472,5.0,1441054800.0,0.0,-0.0,-0.0,4.0,-2.0,4.6315174,-1.4613706,2.9125822
33191,33191,4.0,1402624800.0,-1.0,-0.0,-0.0,-1.0,2.0,5.070444,1.5342177,14.752615
10300,10300,1.0,1472011200.0,0.0,-0.0,-0.0,-1.0,0.0,4.756614,4.5154796,-3.8734813
36496,36496,4.0,1439017200.0,-0.0,-0.0,0.0,-1.0,1.0,10.32048,9.670059,-0.06586869
9517,9517,1.0,1468864800.0,1.0,-0.0,0.0,-1.0,-0.0,-0.6208082,9.13784,4.193976
26524,26524,3.0,1501513200.0,1.0,-0.0,0.0,-1.0,0.0,4.393078,-1.6159134,-0.5789227
5001,5001,1.0,1407312000.0,1.0,-0.0,-0.0,0.0,-0.0,8.256736,5.6209292,14.561547
18091,18091,2.0,1473436800.0,1.0,-0.0,-0.0,-1.0,-1.0,9.26334,6.4018326,0.078126945
13533,13533,2.0,1433516400.0,-2.0,0.0,3.0,-1.0,-0.0,-1.9984801,3.1122007,13.9357605
24650,24650,3.0,1473969600.0,1.0,0.0,-0.0,0.0,-1.0,4.0151825,4.366462,-2.1935492
13907,13907,2.0,1434927600.0,-1.0,-0.0,-1.0,3.0,-1.0,8.696034,4.716997,-4.0387125
30920,30920,3.0,1564056000.0,1.0,-0.0,-0.0,1.0,2.0,0.5417458,10.382903,0.17987284
37303,37303,5.0,1402981200.0,-1.0,-0.0,-1.0,0.0,1.0,-0.13780402,-5.774416,2.1169171
34849,34849,4.0,1408827600.0,1.0,-0.0,1.0,-1.0,-1.0,-6.463873,2.047196,3.5583177
32463,32463,3.0,1624626000.0,0.0,-0.0,-0.0,-1.0,1.0,2.2589295,1.3005189,5.8766108
10843,10843,1.0,1474009200.0,1.0,0.0,3.0,-1.0,-1.0,5.709171,3.9635065,0.023400553
38621,38621,5.0,1435914000.0,-0.0,-0.0,1.0,0.0,-0.0,-3.8453212,2.0665953,4.7844033
33961,33961,4.0,1405530000.0,-0.0,-0.0,1.0,1.0,1.0,12.439566,4.798157,2.640793
15215,15215,2.0,1440010800.0,-1.0,-0.0,-1.0,2.0,1.0,10.196994,2.5524378,6.926366
17268,17268,2.0,1470402000.0,1.0,-0.0,0.0,-1.0,2.0,1.7933644,2.546217,5.777177
