Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Battery Life,Measurement Timestamp Label,Measurement ID
Ohio Street Beach,6/4/2018 15:00,18.2,3.06,,0.149,4,12.5,6/4/2018 15:00,OhioStreetBeach201806041500
Ohio Street Beach,6/4/2018 16:00,18.6,3.07,,0.159,4,12.4,6/4/2018 16:00,OhioStreetBeach201806041600
Ohio Street Beach,6/4/2018 17:00,18.2,2.96,,0.139,4,12.4,6/4/2018 17:00,OhioStreetBeach201806041700
Ohio Street Beach,6/4/2018 18:00,18.4,2.83,,0.145,4,12.4,6/4/2018 18:00,OhioStreetBeach201806041800
Ohio Street Beach,6/4/2018 19:00,18.4,2.77,,0.147,4,12.4,6/4/2018 19:00,OhioStreetBeach201806041900
Ohio Street Beach,6/4/2018 20:00,18.4,2.65,,0.152,4,12.3,6/4/2018 20:00,OhioStreetBeach201806042000
Ohio Street Beach,6/4/2018 21:00,18.2,2.58,,0.116,3,12.3,6/4/2018 21:00,OhioStreetBeach201806042100
Ohio Street Beach,6/4/2018 23:00,18.1,2.87,,0.097,3,12.3,6/4/2018 23:00,OhioStreetBeach201806042300
Ohio Street Beach,6/5/2018 0:00,18,2.83,,0.09,5,12.3,6/5/2018 0:00,OhioStreetBeach201806052400
Ohio Street Beach,6/5/2018 1:00,17.9,2.66,,0.106,4,12.3,6/5/2018 1:00,OhioStreetBeach201806050100
Ohio Street Beach,6/5/2018 2:00,17.8,2.46,,0.086,4,12.2,6/5/2018 2:00,OhioStreetBeach201806050200
Ohio Street Beach,6/5/2018 3:00,17.6,2.47,,0.093,5,12.2,6/5/2018 3:00,OhioStreetBeach201806050300
Ohio Street Beach,6/5/2018 4:00,17.5,2.55,,0.089,4,12.2,6/5/2018 4:00,OhioStreetBeach201806050400
Ohio Street Beach,6/5/2018 5:00,17.5,2.46,,0.088,4,12.2,6/5/2018 5:00,OhioStreetBeach201806050500
Ohio Street Beach,6/5/2018 6:00,17.5,2.55,,0.096,4,12.2,6/5/2018 6:00,OhioStreetBeach201806050600
Ohio Street Beach,6/5/2018 7:00,17.5,2.43,,0.091,4,12.2,6/5/2018 7:00,OhioStreetBeach201806050700
