Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Battery Life,Measurement Timestamp Label,Measurement ID
New Site,5/22/2023 15:30,,,,,,,5/22/2023 15:30,NewSite202305221530
New Site,5/22/2023 16:00,,,,,,,5/22/2023 16:00,NewSite202305221600
New Site,5/22/2023 17:00,,,,,,,5/22/2023 17:00,NewSite202305221700
New Site,5/22/2023 18:00,,,,,,,5/22/2023 18:00,NewSite202305221800
New Site,5/22/2023 19:00,,,,,,,5/22/2023 19:00,NewSite202305221900
New Site,5/22/2023 20:00,,,,,,,5/22/2023 20:00,NewSite202305222000
New Site,5/22/2023 21:00,,,,,,,5/22/2023 21:00,NewSite202305222100
New Site,5/22/2023 22:00,,,,,,,5/22/2023 22:00,NewSite202305222200
New Site,5/22/2023 23:00,,,,,,,5/22/2023 23:00,NewSite202305222300
New Site,5/23/2023 0:00,,,,,,,5/23/2023 0:00,NewSite202305232400
New Site,5/23/2023 1:00,,,,,,,5/23/2023 1:00,NewSite202305230100
New Site,5/23/2023 2:00,,,,,,,5/23/2023 2:00,NewSite202305230200
New Site,5/23/2023 3:00,,,,,,,5/23/2023 3:00,NewSite202305230300
New Site,5/23/2023 4:00,,,,,,,5/23/2023 4:00,NewSite202305230400
New Site,5/23/2023 5:00,,,,,,,5/23/2023 5:00,NewSite202305230500
New Site,5/23/2023 6:00,,,,,,,5/23/2023 6:00,NewSite202305230600
New Site,5/23/2023 7:00,,,,,,,5/23/2023 7:00,NewSite202305230700
New Site,5/23/2023 8:00,,,,,,,5/23/2023 8:00,NewSite202305230800
New Site,5/23/2023 9:00,,,,,,,5/23/2023 9:00,NewSite202305230900
New Site,5/23/2023 10:00,,,,,,,5/23/2023 10:00,NewSite202305231000
New Site,5/23/2023 11:00,,,,,,,5/23/2023 11:00,NewSite202305231100
Ohio Street Beach Buoy,5/23/2023 12:00,,,,,,,5/23/2023 12:00,OhioStreetBeachBuoy202305231200
Ohio Street Beach Buoy,5/23/2023 13:00,,,,,,,5/23/2023 13:00,OhioStreetBeachBuoy202305231300
Ohio Street Beach Buoy,5/23/2023 14:00,,,,,,,5/23/2023 14:00,OhioStreetBeachBuoy202305231400
Ohio Street Beach Buoy,5/23/2023 15:00,,,,,,,5/23/2023 15:00,OhioStreetBeachBuoy202305231500
Ohio Street Beach Buoy,5/23/2023 16:00,,,,,,,5/23/2023 16:00,OhioStreetBeachBuoy202305231600
Ohio Street Beach Buoy,5/23/2023 17:00,,,,,,,5/23/2023 17:00,OhioStreetBeachBuoy202305231700
Ohio Street Beach Buoy,5/23/2023 18:00,,,,,,,5/23/2023 18:00,OhioStreetBeachBuoy202305231800
Ohio Street Beach Buoy,5/23/2023 19:00,,,,,,,5/23/2023 19:00,OhioStreetBeachBuoy202305231900
Ohio Street Beach Buoy,5/23/2023 20:00,,,,,,,5/23/2023 20:00,OhioStreetBeachBuoy202305232000
Ohio Street Beach Buoy,5/23/2023 21:00,,,,,,,5/23/2023 21:00,OhioStreetBeachBuoy202305232100
Ohio Street Beach Buoy,5/23/2023 22:00,,,,,,,5/23/2023 22:00,OhioStreetBeachBuoy202305232200
Ohio Street Beach Buoy,5/23/2023 23:00,,,,,,,5/23/2023 23:00,OhioStreetBeachBuoy202305232300
Ohio Street Beach Buoy,5/24/2023 0:00,,,,,,,5/24/2023 0:00,OhioStreetBeachBuoy202305242400
